,Source,DeviceId,t_nano,t_sec,MemKind,Bytes,MegaBytes,OpType
49,zfp_rate8_4gpu_10iter-each.json,0,7324842247,7.324842247,1,-100000000,-95.367431640625,deallocation
50,zfp_rate8_4gpu_10iter-each.json,0,7345228777,7.345228777000001,2,-100000000,-95.367431640625,deallocation
51,zfp_rate8_4gpu_10iter-each.json,0,7345618548,7.345618548,2,-25000024,-23.841880798339844,deallocation
52,zfp_rate8_4gpu_10iter-each.json,1,7387343628,7.387343628000001,1,100000000,95.367431640625,allocation
53,zfp_rate8_4gpu_10iter-each.json,1,7415521390,7.41552139,2,100000000,95.367431640625,allocation
54,zfp_rate8_4gpu_10iter-each.json,1,7423810106,7.423810106,2,25000024,23.841880798339844,allocation
55,zfp_rate8_4gpu_10iter-each.json,1,7424100779,7.424100779000001,2,100000000,95.367431640625,allocation
56,zfp_rate8_4gpu_10iter-each.json,1,7424918934,7.424918934000001,2,-100000000,-95.367431640625,deallocation
57,zfp_rate8_4gpu_10iter-each.json,1,7426006024,7.426006024,1,-100000000,-95.367431640625,deallocation
58,zfp_rate8_4gpu_10iter-each.json,1,7446346971,7.4463469710000005,2,-100000000,-95.367431640625,deallocation
59,zfp_rate8_4gpu_10iter-each.json,1,7446683780,7.446683780000001,2,-25000024,-23.841880798339844,deallocation
60,zfp_rate8_4gpu_10iter-each.json,2,7488187798,7.488187798,1,100000000,95.367431640625,allocation
61,zfp_rate8_4gpu_10iter-each.json,2,7516312908,7.516312908000001,2,100000000,95.367431640625,allocation
62,zfp_rate8_4gpu_10iter-each.json,2,7524599617,7.524599617000001,2,25000024,23.841880798339844,allocation
63,zfp_rate8_4gpu_10iter-each.json,2,7524885490,7.524885490000001,2,100000000,95.367431640625,allocation
64,zfp_rate8_4gpu_10iter-each.json,2,7525705904,7.5257059040000005,2,-100000000,-95.367431640625,deallocation
65,zfp_rate8_4gpu_10iter-each.json,2,7526798857,7.526798857,1,-100000000,-95.367431640625,deallocation
66,zfp_rate8_4gpu_10iter-each.json,2,7606855962,7.606855962000001,2,-100000000,-95.367431640625,deallocation
67,zfp_rate8_4gpu_10iter-each.json,2,7607224177,7.607224177000001,2,-25000024,-23.841880798339844,deallocation
68,zfp_rate8_4gpu_10iter-each.json,3,7648251807,7.648251807,1,100000000,95.367431640625,allocation
69,zfp_rate8_4gpu_10iter-each.json,3,7676440426,7.676440426,2,100000000,95.367431640625,allocation
70,zfp_rate8_4gpu_10iter-each.json,3,7684716659,7.684716659,2,25000024,23.841880798339844,allocation
71,zfp_rate8_4gpu_10iter-each.json,3,7685011273,7.685011273000001,2,100000000,95.367431640625,allocation
72,zfp_rate8_4gpu_10iter-each.json,3,7685822345,7.685822345,2,-100000000,-95.367431640625,deallocation
73,zfp_rate8_4gpu_10iter-each.json,3,7686925567,7.686925567,1,-100000000,-95.367431640625,deallocation
74,zfp_rate8_4gpu_10iter-each.json,3,7706884564,7.706884564,2,-100000000,-95.367431640625,deallocation
75,zfp_rate8_4gpu_10iter-each.json,3,7707221911,7.707221911,2,-25000024,-23.841880798339844,deallocation
76,zfp_rate8_4gpu_10iter-each.json,0,7748461786,7.748461786000001,1,100000000,95.367431640625,allocation
77,zfp_rate8_4gpu_10iter-each.json,0,7776535329,7.7765353290000006,2,100000000,95.367431640625,allocation
78,zfp_rate8_4gpu_10iter-each.json,0,7784821538,7.784821538,2,25000024,23.841880798339844,allocation
79,zfp_rate8_4gpu_10iter-each.json,0,7785111153,7.785111153000001,2,100000000,95.367431640625,allocation
80,zfp_rate8_4gpu_10iter-each.json,0,7785936288,7.785936288,2,-100000000,-95.367431640625,deallocation
81,zfp_rate8_4gpu_10iter-each.json,0,7787028666,7.787028666,1,-100000000,-95.367431640625,deallocation
82,zfp_rate8_4gpu_10iter-each.json,0,7807237849,7.807237849000001,2,-100000000,-95.367431640625,deallocation
83,zfp_rate8_4gpu_10iter-each.json,0,7807574554,7.807574554,2,-25000024,-23.841880798339844,deallocation
84,zfp_rate8_4gpu_10iter-each.json,1,7848784421,7.848784421,1,100000000,95.367431640625,allocation
85,zfp_rate8_4gpu_10iter-each.json,1,7876878125,7.876878125,2,100000000,95.367431640625,allocation
86,zfp_rate8_4gpu_10iter-each.json,1,7885167453,7.885167453,2,25000024,23.841880798339844,allocation
87,zfp_rate8_4gpu_10iter-each.json,1,7885460020,7.885460020000001,2,100000000,95.367431640625,allocation
88,zfp_rate8_4gpu_10iter-each.json,1,7886269003,7.886269003000001,2,-100000000,-95.367431640625,deallocation
89,zfp_rate8_4gpu_10iter-each.json,1,7887356121,7.887356121000001,1,-100000000,-95.367431640625,deallocation
90,zfp_rate8_4gpu_10iter-each.json,1,7907301186,7.907301186000001,2,-100000000,-95.367431640625,deallocation
91,zfp_rate8_4gpu_10iter-each.json,1,7907642295,7.9076422950000005,2,-25000024,-23.841880798339844,deallocation
92,zfp_rate8_4gpu_10iter-each.json,2,7948072436,7.948072436,1,100000000,95.367431640625,allocation
93,zfp_rate8_4gpu_10iter-each.json,2,7976144237,7.976144237000001,2,100000000,95.367431640625,allocation
94,zfp_rate8_4gpu_10iter-each.json,2,7984426549,7.984426549,2,25000024,23.841880798339844,allocation
95,zfp_rate8_4gpu_10iter-each.json,2,7984710674,7.9847106740000005,2,100000000,95.367431640625,allocation
96,zfp_rate8_4gpu_10iter-each.json,2,7985533708,7.985533708,2,-100000000,-95.367431640625,deallocation
97,zfp_rate8_4gpu_10iter-each.json,2,7986626352,7.986626352000001,1,-100000000,-95.367431640625,deallocation
98,zfp_rate8_4gpu_10iter-each.json,2,8006690181,8.006690181,2,-100000000,-95.367431640625,deallocation
99,zfp_rate8_4gpu_10iter-each.json,2,8007028342,8.007028342,2,-25000024,-23.841880798339844,deallocation
100,zfp_rate8_4gpu_10iter-each.json,3,8048085350,8.048085350000001,1,100000000,95.367431640625,allocation
101,zfp_rate8_4gpu_10iter-each.json,3,8081239783,8.081239783000001,2,100000000,95.367431640625,allocation
102,zfp_rate8_4gpu_10iter-each.json,3,8089530300,8.0895303,2,25000024,23.841880798339844,allocation
103,zfp_rate8_4gpu_10iter-each.json,3,8089808690,8.08980869,2,100000000,95.367431640625,allocation
104,zfp_rate8_4gpu_10iter-each.json,3,8090625639,8.090625639,2,-100000000,-95.367431640625,deallocation
105,zfp_rate8_4gpu_10iter-each.json,3,8091712165,8.091712165,1,-100000000,-95.367431640625,deallocation
106,zfp_rate8_4gpu_10iter-each.json,3,8119982341,8.119982341,2,-100000000,-95.367431640625,deallocation
107,zfp_rate8_4gpu_10iter-each.json,3,8120332417,8.120332417,2,-25000024,-23.841880798339844,deallocation
108,zfp_rate8_4gpu_10iter-each.json,0,8161097842,8.161097842,1,100000000,95.367431640625,allocation
109,zfp_rate8_4gpu_10iter-each.json,0,8185966631,8.185966631000001,2,100000000,95.367431640625,allocation
110,zfp_rate8_4gpu_10iter-each.json,0,8194240170,8.19424017,2,25000024,23.841880798339844,allocation
111,zfp_rate8_4gpu_10iter-each.json,0,8194511368,8.194511368,2,100000000,95.367431640625,allocation
112,zfp_rate8_4gpu_10iter-each.json,0,8195341093,8.195341093,2,-100000000,-95.367431640625,deallocation
113,zfp_rate8_4gpu_10iter-each.json,0,8196444696,8.196444696,1,-100000000,-95.367431640625,deallocation
114,zfp_rate8_4gpu_10iter-each.json,0,8213099605,8.213099605,2,-100000000,-95.367431640625,deallocation
115,zfp_rate8_4gpu_10iter-each.json,0,8213421571,8.213421571000001,2,-25000024,-23.841880798339844,deallocation
116,zfp_rate8_4gpu_10iter-each.json,1,8253463195,8.253463195,1,100000000,95.367431640625,allocation
117,zfp_rate8_4gpu_10iter-each.json,1,8278068847,8.278068847,2,100000000,95.367431640625,allocation
118,zfp_rate8_4gpu_10iter-each.json,1,8286352557,8.286352557,2,25000024,23.841880798339844,allocation
